Model	Epoch	Timestamp	Learningrate	Train Loss	Validation Loss	Accuracy	Precision	Recall	F1 Score Macro	F1 Score Micro	MCC	AUROC
distilbert	14/20	2024-02-01 17:09:31	0.10000	0.69749	0.69743	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	15/20	2024-02-01 17:10:12	0.10000	0.69687	0.69320	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	16/20	2024-02-01 17:10:53	0.10000	0.69576	0.69345	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	17/20	2024-02-01 17:11:34	0.10000	0.69640	0.69389	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	18/20	2024-02-01 17:12:16	0.10000	0.69491	0.69786	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	19/20	2024-02-01 17:12:57	0.10000	0.69449	0.69393	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	20/20	2024-02-01 17:13:38	0.10000	0.69352	0.69306	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	1/20	2024-02-02 11:02:01	0.10000	10.21021	0.70527	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	2/20	2024-02-02 11:03:38	0.10000	1241.13944	0.70123	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	3/20	2024-02-02 11:05:15	0.10000	0.71580	0.74633	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	4/20	2024-02-02 11:06:52	0.10000	0.71545	0.70139	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	5/20	2024-02-02 11:08:29	0.10000	0.70998	0.70733	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	6/20	2024-02-02 11:10:06	0.10000	0.70901	0.69831	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	7/20	2024-02-02 11:11:43	0.10000	0.70801	0.70033	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	8/20	2024-02-02 11:13:20	0.10000	0.71042	0.69687	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	9/20	2024-02-02 11:14:58	0.10000	0.70699	0.72322	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	10/20	2024-02-02 11:16:35	0.10000	0.70595	0.70513	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	11/20	2024-02-02 11:18:12	0.10000	0.70408	0.71519	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	12/20	2024-02-02 11:19:49	0.10000	0.70380	0.73608	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	13/20	2024-02-02 11:21:26	0.10000	0.70357	0.70048	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	14/20	2024-02-02 11:23:04	0.10000	0.70264	0.69319	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	15/20	2024-02-02 11:24:41	0.10000	0.70197	0.69637	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	16/20	2024-02-02 11:26:18	0.10000	0.69865	0.69685	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	17/20	2024-02-02 11:27:56	0.10000	0.69813	0.69317	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	18/20	2024-02-02 11:29:33	0.10000	0.69594	0.69627	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	19/20	2024-02-02 11:31:10	0.10000	0.69474	0.69869	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	20/20	2024-02-02 11:32:47	0.10000	0.69427	0.69364	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
llama	0.20954	0.9228	         0.5000	0.4614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.4614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.20954	0.9228	         0.5000	0.9614	0.4799	         0.9228	0.0000
llama	0.07664	0.9764	         0.5000	0.9882	0.4940	         0.9764	0.0000
llama	0.07664	0.9764	         0.5000	0.9882	0.4940	         0.9764	0.0000
llama	0.66334	0.5000	         0.5000	0.7500	0.3333	         0.5000	0.0000
llama	0.66334	0.5000	         0.5000	0.7500	0.3333	         0.5000	0.0000
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	0.14343	0.9496	         0.9509	0.9496	0.9496	         0.9496	0.9005
llama	1.40101	0.5954	         0.6670	0.5954	0.5468	         0.5954	0.2524
